OG,Description,Prevalence_Gut,Prevalence_Vaginal,Mean_per_1000_genes_Gut,Mean_per_1000_genes_Vaginal,log2FC_Vaginal_vs_Gut,Rank_biserial_Vaginal_vs_Gut,P_value,Q_value_BH,Significant_q<0.05,Higher_in
COG0208,Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides,0.2424114671163548,0.6526717557251867,0.12978096946254108,0.491839506849163,1.9139652865951045,0.4837654849409352,1.9369488237160272e-158,1.4579413796110537e-154,True,Vaginal
2E3FD,TSCPD domain,0.6026559865092852,0.08015267175572512,0.34606850164734965,0.04025561662118821,-3.0725579894958397,-0.5335262112259653,6.855147040246352e-142,2.5799345885967145e-138,True,Gut
COG0655,NADPH-dependent FMN reductase,0.7152192242832988,0.2302798982188303,0.8928934011388262,0.17677367382848766,-2.3300611029668947,-0.5499398731597218,3.3627988556321204e-141,8.43726232878099e-138,True,Gut
COG1108,ABC 3 transport family,0.5145446880270049,0.807888040712462,0.37941950208460606,1.213836082472561,1.6750985519746109,0.5290284982986411,6.648458840113282e-137,1.2510737422383167e-133,True,Vaginal
COG1121,ABC transporter,0.5166526138280164,0.8091603053435052,0.35144601842056683,1.0255723768925502,1.542361133513238,0.5284229389527524,2.0122476969207866e-136,3.0292376829445523e-133,True,Vaginal
COG0209,Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides,0.42769814502531256,0.7849872773536837,0.24787099949243138,0.6852932338404368,1.4634270058797767,0.5108332904239024,9.137791022537065e-136,1.1463358837772747e-132,True,Vaginal
COG0803,Belongs to the bacterial solute-binding protein 9 family,0.5497470489038968,0.8295165394401971,0.4182598345436729,1.4321523023447764,1.7732754037282616,0.5311160421198975,2.6142852554824675e-135,2.811103588288076e-132,True,Vaginal
COG0588,Catalyzes the interconversion of 2-phosphoglycerate and 3-phosphoglycerate,0.22870994940977832,0.6195928753180624,0.14111676513711716,0.5254173336077177,1.8891302386788036,0.431110517530648,4.349598849052662e-131,4.0924288171024235e-128,True,Vaginal
COG1592,Rubrerythrin,0.8195615514333675,0.36641221374045746,0.9773449986723527,0.34802626194971803,-1.4870077057299012,-0.5341089749366013,2.3237791870581443e-129,1.9434539934429613e-126,True,Gut
COG1780,Probably involved in ribonucleotide reductase function,0.09780775716694755,0.395674300254452,0.05121422996860118,0.3006149561994819,2.5301930255378084,0.31448563392247975,1.954925124147112e-121,1.4714721409455312e-118,True,Vaginal
COG1971,Probably functions as a manganese efflux pump,0.7057335581787471,0.2302798982188303,0.4821505685353755,0.13898413344864766,-1.787209545443562,-0.4945317293788002,6.254506334007729e-115,4.279788106916016e-112,True,Gut
2AFXT,Protein of unknown function (DUF2469),0.020446880269814484,0.19974554707379186,0.011725710690889828,0.1371458940052697,3.440374549130133,0.1800624546769134,2.0918121047263627e-110,1.3120891426896111e-107,True,Vaginal
COG1453,aldo keto reductase,0.5183389544688256,0.0890585241730279,0.5518103023292501,0.07125839200039825,-2.9355474471732728,-0.4415407274864943,4.54759097380032e-104,2.633055173830385e-101,True,Gut
2ATJW,Domain of unknown function (DUF4193),0.023187183811129827,0.20101781170483513,0.013756300768878835,0.13563807444437032,3.2109565440575802,0.17850537869718375,3.133706565502586e-103,1.6848149513241403e-100,True,Vaginal
COG5282,hydrolase,0.02571669477234399,0.20865139949109474,0.019385556822563235,0.16233155459355691,3.0021842680598385,0.183029910018923,4.6515664399248805e-102,2.334156039554305e-99,True,Vaginal
2E4NY,Involved in cell division,0.022765598650927466,0.19720101781170532,0.013332276416256141,0.13704513692853174,3.2678003871198427,0.17515576123476184,3.1545231272258416e-101,1.4840059736643067e-98,True,Vaginal
2B57P,Protein of unknown function (DUF3052),0.022133220910623926,0.19338422391857552,0.012377227181117938,0.13317887216903318,3.3263065107539846,0.17229182489519368,3.843635584202968e-100,1.701826178958573e-97,True,Vaginal
28NWB,Protein of unknown function (DUF3027),0.024662731871838088,0.20101781170483513,0.014784555047583817,0.13968995330848452,3.155933811114233,0.17691317062077072,5.043194580988433e-99,1.997901347952628e-96,True,Vaginal
COG1032,Radical SAM domain protein,0.742411467116347,0.3575063613231548,1.0557170227114607,0.36435075694601293,-1.532234988966666,-0.46246738883239147,4.96824051603109e-99,1.997901347952628e-96,True,Gut
COG1853,"Psort location Cytoplasmic, score 8.87",0.7649662731871699,0.37913486005088987,0.7575607718766312,0.28819816998209924,-1.391206343113991,-0.4636935258250411,6.180787590495364e-99,2.3261394096829304e-96,True,Gut
2DMIE,Acts as a transcriptional regulator. Probably redox- responsive. The apo- but not holo-form probably binds DNA,0.02508431703204045,0.20101781170483513,0.01499294739232717,0.13705306144706603,3.109715133903401,0.17661602281065347,4.9194998169562e-98,1.7632892915347296e-95,True,Vaginal
COG2768,PFAM 4Fe-4S ferredoxin iron-sulfur binding domain protein,0.6776981450252942,0.2646310432569982,0.7178975076898874,0.22949717606070422,-1.6410370265495824,-0.45314424219799265,1.315377838081203e-97,4.500385903289643e-95,True,Gut
28J4D,Protein of unknown function (DUF3710),0.02508431703204045,0.1984732824427486,0.014935146540077264,0.13263440012466055,3.068007242361973,0.17401919767945806,7.13285826190909e-96,2.3343053972778135e-93,True,Vaginal
2DRQG,Protein of unknown function (DUF3180),0.023187183811129827,0.19211195928753225,0.013765266472256727,0.13266739764023533,3.178368327024999,0.16956546691897412,1.1412288574020265e-95,3.436011843866021e-93,True,Vaginal
2EGRW,Protein of unknown function (DUF3073),0.02592748735244517,0.20101781170483513,0.015397103813229281,0.1382734689979429,3.0864075346627144,0.17563554231084444,1.0964396443948686e-95,3.436011843866021e-93,True,Vaginal
2AN86,Protein of unknown function (DUF3043),0.02529510961214163,0.1984732824427486,0.01496039377294493,0.1421709640220972,3.1651707834664706,0.17408087998661226,1.2884199901231967e-95,3.7299758714066547e-93,True,Vaginal
COG1387,DNA polymerase alpha chain like domain,0.7276559865092666,0.3078880407124684,0.7060914024160124,0.25875727287064,-1.4447325742585855,-0.44950123150067156,3.02147669776838e-94,8.423205594112072e-92,True,Gut
2CAFG,Protein of unknown function (DUF3039),0.024241146711635728,0.19338422391857552,0.014382319409925903,0.13332391074214456,3.1263711786500497,0.16987119661530414,5.392824379256154e-94,1.4497067536664669e-91,True,Vaginal
