Cluster,Rank,COG,Description,log2_fold_enrichment,Prevalence_in_cluster,Prevalence_in_other_clusters,Mean_per_1000_genes_in_cluster,Mean_per_1000_genes_in_other_clusters
0,1,COG1543,Belongs to the glycosyl hydrolase 57 family,6.206147564803185,0.3180428134556576,0.005128205128205128,0.3038296737739465,0.0031287697749846958
0,2,COG3330,Domain of unknown function (DUF4912),6.1835820951583225,0.33027522935779835,0.006105006105006105,0.29953112524968273,0.0031347167759189407
0,3,COG3360,Dodecin,5.866531903397044,0.24770642201834833,0.009035409035409031,0.21906220926292486,0.0027717543092830002
0,4,COG5663,Belongs to the 5'(3')-deoxyribonucleotidase family,5.740537438715285,0.538226299694191,0.031990231990231904,0.8693421658163183,0.01527856298308562
0,5,COG4903,Competence transcription factor,5.348184895092998,0.40366972477064283,0.021245421245421198,0.44593163893598214,0.009971778320293861
0,6,COG4043,ASCH,4.936735059490194,0.33027522935779835,0.018803418803418764,0.4004597959123101,0.012108008850070061
0,7,COG1986,"Phosphatase that hydrolyzes non-canonical purine nucleotides such as XTP and ITP to their respective diphosphate derivatives. Probably excludes non-canonical purines from DNA precursor pool, thus preventing their incorporation into DNA and avoiding chromosomal lesions",4.893226647650387,0.28746177370030573,0.03907203907203896,0.32942340051911423,0.01011892497562135
0,8,COG4969,cell adhesion,4.7064180919163,0.40366972477064283,0.10622710622710588,1.6982303204589466,0.06408474851094845
0,9,COG1379,DNA helicase,4.63679742983923,0.32721712538226316,0.03223443223443215,0.3039840124116087,0.01125919529327811
0,10,COG4843,Uncharacterized protein conserved in bacteria (DUF2179),4.406538687590173,0.22935779816513738,0.03736263736263726,0.33553371998019543,0.014868221868652031
0,11,COG1437,Adenylate cyclase,4.375075286651782,0.3639143730886854,0.05567765567765551,0.581871547829482,0.027089496959079102
0,12,COG4284,Uridylyltransferase,4.328542718517269,0.3394495412844039,0.06227106227106208,0.6867102870135143,0.03322822080423061
0,13,COG3580,PFAM CoA enzyme activase uncharacterised domain (DUF2229),4.315628548836097,0.21100917431192642,0.021733821733821684,0.23353552995138754,0.010778093571507077
0,14,COG4294,UV-endonuclease UvdE,4.268408947313523,0.20183486238532095,0.033455433455433364,0.2257429378471305,0.010765615254024134
0,15,COG5017,Glycosyltransferase family 28 C-terminal domain,4.19458075600314,0.4831804281345577,0.05665445665445648,0.5165330276879284,0.027264639056568965
0,16,COG3287,"PFAM FIST domain, N-terminal",4.065859289226311,0.1896024464831803,0.02442002442002436,0.19571533926233786,0.010746071009544111
0,17,COG4470,Protein of unknown function (DUF1027),3.9997480160958996,0.40366972477064283,0.0595848595848594,0.4572882362225461,0.027648018045154064
0,18,COG5305,Dolichyl-phosphate-mannose-protein mannosyltransferase,3.928977685706344,0.24770642201834833,0.03321123321123312,0.29735790916212396,0.018588330337233075
0,19,COG4502,5'-3'-deoxyribonucleotidase,3.856426505851448,0.14067278287461776,0.023931623931623874,0.171612626729025,0.010917152780698918
0,20,COG4839,Cell division protein FtsL,3.819079714129627,0.406727828746178,0.06495726495726475,0.4410577584777984,0.030319979376548734
0,21,COG4997,phosphoribosyl-ATP pyrophosphohydrolase,3.81443132236934,0.2721712538226298,0.04835164835164821,0.3121230020912817,0.02125649274330225
0,22,COG3557,Belongs to the UPF0374 family,3.8092067143634587,0.3669724770642206,0.060561660561660374,0.41033315144938604,0.02834325124782006
0,23,COG3745,Flp pilus assembly protein CpaB,3.7941290555021907,0.7155963302752318,0.10305250305250271,0.805605944765043,0.057145320049435545
0,24,COG5521,maltodextrose utilization protein MalA,3.7740102330415666,0.26299694189602424,0.03174603174603166,0.2329929177747017,0.016104580558263734
0,25,COG1039,Endonuclease that specifically degrades the RNA of RNA- DNA hybrids,3.7734912667974982,0.41896024464831877,0.06495726495726475,0.4622854379054253,0.03287775242298225
0,26,COG4836,Protein of unknown function (DUF1146),3.7503763771584295,0.20795107033639126,0.04102564102564091,0.231486895387933,0.016275184463371197
0,27,COG4477,modulates the frequency and position of FtsZ ring formation. Inhibits FtsZ ring formation at polar sites. Interacts either with FtsZ or with one of its binding partners to promote depolymerization,3.7216538956168543,0.4159021406727836,0.07130647130647108,0.467751004278202,0.0345314356166203
0,28,COG0630,"COG0630 Type IV secretory pathway, VirB11 components, and related ATPases involved in archaeal flagella biosynthesis",3.672094524253471,0.35779816513761503,0.051770451770451614,0.4064567770127124,0.03096472311781773
0,29,COG3343,"Participates in both the initiation and recycling phases of transcription. In the presence of the delta subunit, RNAP displays an increased specificity of transcription, a decreased affinity for nucleic acids, and an increased efficiency of RNA synthesis because of enhanced recycling",3.627237691632549,0.41896024464831877,0.07887667887667862,0.46567038103655134,0.03676616542044067
0,30,COG5380,"BRO family, N-terminal domain",3.60757835568471,0.11009174311926612,0.02368742368742363,0.12328831149220049,0.00919626211227597
0,31,COG3611,membrane attachment protein,3.59491625212388,0.42201834862385396,0.07765567765567741,0.4700237238489144,0.03798209340950812
0,32,COG3545,Serine hydrolase,3.5711717378083283,0.1743119266055045,0.03394383394383385,0.1991439333209423,0.01583885734617903
0,33,COG5628,Acetyltransferase (GNAT) family,3.533318521398068,0.10397553516819577,0.02148962148962144,0.1157493539164372,0.009083693271311644
0,34,COG3804,dihydrodipicolinate reductase,3.481674470867082,0.504587155963304,0.08791208791208763,0.516245104480014,0.04530287290529532
0,35,COG4495,Domain of unknown function (DUF4176),3.4112216417857675,0.14678899082568808,0.037118437118437014,0.24093873241556715,0.021741827702607304
0,36,COG3763,UPF0154 protein,3.4076206112838583,0.34862385321100947,0.07570207570207546,0.38631289989159884,0.035497737562210016
0,37,COG2348,Methicillin resistance protein,3.3382989273684855,0.7094801223241615,0.19438339438339372,1.496469254562801,0.14705729233536619
0,38,COG4286,Uncharacterised protein family (UPF0160),3.3291804640171194,0.22935779816513738,0.047374847374847234,0.23037629924795852,0.022021609861225477
0,39,COG3689,TIGRFAM TIGR03943 family protein,3.2921760692733617,0.35168195718654466,0.06715506715506694,0.33605556496913574,0.03340786726003494
0,40,COG1144,4Fe-4S binding domain,3.279236901051683,0.3639143730886854,0.06471306471306451,0.3277315971642017,0.03286045422344401
0,41,COG3879,Bacterial protein of unknown function (DUF881),3.258267870408693,0.3639143730886854,0.07399267399267376,0.6525511380474267,0.06730353995112089
0,42,COG3856,small basic protein,3.1597344511774095,0.3639143730886854,0.07057387057387035,0.32777408776572686,0.035789402399485436
0,43,COG1300,Required for complete septum migration and engulfment of the forespore compartment during sporulation. Required for stabilizing and recruiting of SpoIIP to the septal membrane,3.090796637906324,0.6544342507645281,0.15775335775335722,0.6460989794429834,0.0749535743402558
0,44,COG4753,"helix_turn_helix, arabinose operon control protein",3.0526284127216625,0.18654434250764515,0.057631257631257454,0.21660717457499043,0.025226509396380013
0,45,COG3645,"Psort location Cytoplasmic, score",3.0259815400938037,0.455657492354741,0.17313797313797255,0.8090366231332864,0.09844740261341148
0,46,COG4257,antibiotic catabolic process,2.9913975012960137,0.11314984709480129,0.029059829059828984,0.16480736280934,0.019849874009866077
0,47,COG5184,Cadherin-like beta sandwich domain,2.958182415914662,0.4617737003058114,0.13577533577533532,0.6841070052914985,0.087156993053759
0,48,COG4728,Protein conserved in bacteria,2.856416407555227,0.6574923547400633,0.20879120879120808,0.7523721316378286,0.10302615158133478
0,49,COG5577,Coat F domain,2.842670463311841,0.6483180428134577,0.1768009768009762,0.6808326313612965,0.0940492522754472
0,50,COG4555,ABC transporter,2.82892548500812,0.16513761467889904,0.048840048840048694,0.17181598717909788,0.023321619509160382
1,1,COG4646,Protein of unknown function (DUF2958),6.284310311903161,0.14308426073131977,0.0005272871078302136,0.09545750879874464,0.00023757103221811517
1,2,COG5265,ATP-binding cassette subfamily B,5.7524140181021615,0.8378378378378395,0.021618771421038747,0.5374862224391393,0.00898907856965626
1,3,COG2852,Protein of unknown function (DUF559),5.478188949332922,0.9936406995230544,0.10967571842868383,3.581385444366868,0.0793661411842649
1,4,COG3883,PFAM NLP P60 protein,5.2885661435439,0.9602543720190798,0.05510150276825748,1.1409255993128924,0.0282160006607352
1,5,COG5606,Helix-turn-helix domain,5.274745804973625,0.34181240063593066,0.014764039019245993,0.21610403512901943,0.004608041110103673
1,6,COG2222,"sugar isomerase, AgaS family",5.220238817444323,0.9825119236883962,0.16899551805958413,3.9165570618490086,0.10409132371872684
1,7,COG3116,cell division,5.051217034656386,0.9554848966613692,0.044819404165568226,0.6190207494514729,0.017699861143803296
1,8,COG3260,"NADH ubiquinone oxidoreductase, 20",4.933110357819516,0.8823529411764723,0.08383865014500382,1.207400436742218,0.03855457148510064
1,9,COG3261,"Respiratory-chain NADH dehydrogenase, 49 Kd subunit",4.909986414003077,0.8918918918918937,0.09675718428684382,1.4886921011012901,0.04854996203479148
1,10,COG1848,PIN domain,4.697501226699904,0.8346581875993657,0.05773793830740857,0.8792952663038851,0.03292654173632205
1,11,COG5573,PIN domain,4.597556657191129,0.17011128775834686,0.007909306617453201,0.11099754245031335,0.003626004304220006
1,12,COG4878,Uncharacterised protein conserved in bacteria (DUF2194),4.586790675273415,0.5612082670906211,0.02926443448457681,0.3693000630490313,0.014409629925093327
1,13,COG3847,Flp Fap pilin component,4.457925346693681,0.9459459459459478,0.03374637490113364,0.6120031587679353,0.026892886821337284
1,14,COG4237,Hydrogenase 4 membrane,4.439420309068229,0.6581875993640712,0.03770102820986028,0.42096335894865594,0.018448050089660512
