Cluster,Rank,COG,Description,log2_fold_enrichment,Prevalence_in_cluster,Prevalence_in_other_clusters,Mean_per_1000_genes_in_cluster,Mean_per_1000_genes_in_other_clusters
0,1,COG5107,Domain of Unknown Function (DUF349),9.209668856420144,0.8527131782945749,0.0,0.5910884317701596,0.0
0,2,COG4704,Fibrobacter succinogenes major domain (Fib_succ_major),8.434967195419363,0.9457364341085286,0.0035587188612099642,0.7600316385937972,0.0011989966813354405
0,3,COG1449,Belongs to the glycosyl hydrolase 57 family,8.225211178129168,0.7596899224806213,0.0017793594306049821,0.4772338652292683,0.0005981040102873889
0,4,COG4797,Motility related/secretion protein,8.203978662545937,0.6046511627906985,0.0017793594306049821,0.5404463128338497,0.0008361651459609878
0,5,COG3489,"Psort location CytoplasmicMembrane, score",7.583812990675018,0.4573643410852719,0.0035587188612099642,0.3153303079959089,0.0006488669478451376
0,6,COG1730,unfolded protein binding,7.449825310722522,0.27906976744186074,0.0,0.17383198198584401,0.0
0,7,COG3488,"Di-haem oxidoreductase, putative peroxidase",7.318422893237939,0.519379844961241,0.005338078291814947,0.4078976696522057,0.0015618271482581607
0,8,COG3746,phosphate-selective porin O and P,7.272718787890542,0.8914728682170556,0.014234875444839855,0.9369631346553368,0.005065676776115541
0,9,COG4206,"Psort location OuterMembrane, score",7.035546403718813,1.0000000000000016,0.0854092526690391,5.946872327943471,0.04433682831181348
0,10,COG1747,Gliding motility protein,6.839615709747907,0.17829457364341095,0.0,0.11353269697453289,0.0
0,11,COG4288,Lamin Tail Domain,6.654060008969645,0.22480620155038777,0.0017793594306049821,0.14963981824071465,0.0004957813961005801
0,12,COG4121,"Psort location Cytoplasmic, score",6.539872895764009,0.21705426356589164,0.0,0.09204604321020178,0.0
0,13,COG3712,Domain of unknown function (DUF4974),6.358348016647276,0.5968992248062024,0.026690391459074737,1.7993505666633585,0.02094338403585321
0,14,COG3292,Histidine kinase,6.356432560992483,0.744186046511629,0.00889679715302491,0.6804066459355143,0.00731628757613005
0,15,COG3637,"Has lipid A 3-O-deacylase activity. Hydrolyzes the ester bond at the 3 position of lipid A, a bioactive component of lipopolysaccharide (LPS), thereby releasing the primary fatty acyl moiety",6.2817643684695454,0.9922480620155054,0.07473309608540925,4.654654736374229,0.05883857806830057
0,16,COG1864,DNA/RNA non-specific endonuclease,6.234043565814882,0.8527131782945749,0.02846975088967972,0.9108921034863745,0.011114607481494784
0,17,COG4520,"Psort location CytoplasmicMembrane, score 9.46",6.178731611252389,0.348837209302326,0.005338078291814947,0.21041943894976683,0.001918511210492328
0,18,COG3427,Polyketide cyclase,6.002383535265531,0.8604651162790711,0.012455516014234874,0.5469265356478139,0.0075472192387621585
0,19,COG4412,M6 family metalloprotease domain protein,5.950503379781597,0.4806201550387603,0.016014234875444837,0.6587553491791605,0.00966848899297074
0,20,COG5368,protein conserved in bacteria,5.915147310885136,0.12403100775193798,0.0,0.059344371634824415,0.0
