Genome_ID,Microbiome,Gene_count,DNA_UMAP_1,DNA_UMAP_2,DNA_cluster,Functional_UMAP_1,Functional_UMAP_2,Functional_cluster
SGB001,Vaginal,1148,12.487702,-0.3296936,4,0.4553203,-3.5080154,4
SGB002,Vaginal,1174,5.5180554,7.441609,2,1.39472,-0.81423956,6
SGB003,Vaginal,1511,9.494113,1.8462696,4,0.15358263,4.0412927,-1
SGB004,Vaginal,1143,0.18994132,4.0882287,0,16.986614,-0.40159532,1
SGB005,Vaginal,1101,0.0637304,4.2694526,0,17.048082,-0.47811437,1
SGB006,Vaginal,2031,12.534005,-1.2410831,4,0.43693212,-4.0796084,4
SGB007,Vaginal,1610,10.915571,4.2046657,4,-10.189721,15.480661,0
SGB008,Vaginal,1193,5.166084,7.2806263,2,1.9425409,-0.7567851,6
SGB009,Vaginal,1170,9.836828,1.8982946,4,0.93102646,0.47735912,7
SGB010,Vaginal,1243,11.097187,2.7869112,4,0.8143223,0.22676758,7
SGB011,Vaginal,1108,13.790945,1.9884357,-1,0.5186776,-1.1617458,-1
SGB012,Vaginal,1216,9.16393,1.5028878,4,0.11101688,4.544077,-1
SGB013,Vaginal,1847,8.766381,4.8990526,3,-10.155942,15.789966,0
SGB014,Vaginal,1819,9.026391,5.3444467,3,-10.307749,15.856154,0
SGB015,Vaginal,1046,5.630368,7.211155,2,1.2744977,-0.87409616,6
SGB016,Vaginal,1046,0.09569085,4.053317,0,17.03799,-0.6200131,1
SGB017,Vaginal,1228,13.656831,2.1309273,-1,1.1517562,1.4729153,7
SGB018,Vaginal,1467,12.650717,-0.7779918,4,0.46971866,-3.8193452,4
SGB019,Vaginal,1162,12.492852,-0.42084658,4,0.53685534,-3.4662707,4
SGB020,Vaginal,1140,0.2963264,4.4154215,0,17.046991,-0.53244925,1
SGB021,Vaginal,1106,13.862326,2.0867062,-1,0.60481495,-1.1131029,6
SGB022,Vaginal,1707,8.488557,5.0701213,3,-10.183048,15.59879,0
SGB023,Vaginal,1313,10.011322,1.0145727,4,0.10050794,4.1382422,-1
SGB024,Vaginal,1316,14.007384,-1.7638943,4,-0.9132476,-3.2576144,5
SGB025,Vaginal,1687,9.903262,5.0284677,3,-10.159811,15.488284,0
SGB026,Vaginal,1100,0.6821513,4.2686925,0,17.091402,-0.51930624,1
SGB027,Vaginal,1074,5.0704684,7.364778,2,1.1981398,-0.84396076,6
SGB028,Vaginal,1065,0.15146951,4.461828,0,17.019056,-0.58828354,1
SGB029,Vaginal,1151,10.688555,2.476737,4,0.10027336,4.4591446,-1
SGB030,Vaginal,1837,2.8507292,1.7763802,1,14.429332,7.9094133,2
SGB031,Vaginal,1741,12.666444,-0.8558036,4,0.4813202,-3.9242976,4
SGB032,Vaginal,1077,-0.012501703,4.345763,0,16.993402,-0.53587294,1
SGB033,Vaginal,1953,13.258022,-1.1276573,4,-1.4002135,-3.592134,5
