Genome_ID,Microbiome,Gene_count,DNA_UMAP_1,DNA_UMAP_2,DNA_cluster,Functional_UMAP_1,Functional_UMAP_2,Functional_cluster
MGYG000000001,Gut,2984,-0.95409733,17.301004,2,10.282639,3.9553547,-1
MGYG000000002,Gut,3746,-5.870117,4.320358,4,8.466472,1.897732,7
MGYG000000003,Gut,2512,2.8386738,7.0291514,6,-6.5688996,13.363551,3
MGYG000000004,Gut,3478,-2.2062013,5.2768717,4,10.896835,-2.053568,6
MGYG000000005,Gut,3541,-1.0476465,17.33921,2,10.321367,3.9152102,-1
MGYG000000006,Gut,2525,-2.0199957,14.591068,3,-1.1826453,-4.8188677,2
MGYG000000007,Gut,1816,-2.9090357,12.847239,3,11.406364,9.23055,5
MGYG000000008,Gut,1738,-2.9038484,12.852237,3,11.434414,9.227749,5
MGYG000000009,Gut,2011,-3.1618795,13.212298,3,11.407092,8.732227,5
MGYG000000010,Gut,2661,-1.9990427,14.549819,3,-1.179566,-4.825245,2
MGYG000000011,Gut,2647,-2.0089366,14.582303,3,-1.1751221,-4.817892,2
MGYG000000012,Gut,3831,-2.3429978,6.5204353,4,-1.4254633,-5.517794,2
MGYG000000013,Gut,4653,1.1625859,8.481389,6,-10.119425,9.64745,3
MGYG000000014,Gut,3951,-1.1084818,17.35843,2,10.112442,4.0424047,-1
MGYG000000015,Gut,4415,5.678598,-2.5130649,-1,-12.855542,-2.3800285,1
MGYG000000016,Gut,2300,-5.453227,5.0281057,4,11.271374,-0.9885265,6
MGYG000000017,Gut,1780,14.048501,9.303005,0,7.51085,16.330961,0
MGYG000000018,Gut,2673,-3.9548886,9.858323,4,7.278321,3.673116,7
MGYG000000019,Gut,4440,5.7057652,-2.53401,-1,-12.880497,-2.397189,1
MGYG000000020,Gut,1877,1.8296493,5.0354924,5,11.495604,8.713874,5
MGYG000000021,Gut,1795,1.606344,4.7519245,5,11.1963,8.619594,5
MGYG000000022,Gut,2720,-1.902266,3.1476974,4,12.5329485,-4.485833,6
MGYG000000023,Gut,1908,-3.5458086,14.105461,3,13.65318,8.337886,5
MGYG000000024,Gut,3321,-0.98469234,17.313726,2,10.320418,3.9176574,-1
MGYG000000025,Gut,2574,-2.0257576,14.579993,3,-1.1717216,-4.810224,2
MGYG000000026,Gut,2332,-1.2649344,13.9016075,3,15.904168,6.884036,5
MGYG000000027,Gut,2051,3.907139,8.303105,6,2.2893822,1.5033187,4
MGYG000000028,Gut,2254,-6.7103004,4.84624,4,7.7212157,2.068552,7
MGYG000000029,Gut,3380,1.1847395,8.437165,6,-10.041997,9.562288,3
MGYG000000030,Gut,2508,-3.774843,10.177691,4,7.485703,3.7232308,7
MGYG000000031,Gut,3199,-6.116627,4.2916446,4,8.363336,1.9328922,7
MGYG000000032,Gut,5853,-4.208113,4.6684227,4,9.10414,1.696541,7
MGYG000000033,Gut,2424,-2.8354304,9.065744,4,9.008309,-3.6942523,6
MGYG000000034,Gut,2443,-3.0651114,5.1192913,4,10.153387,-3.7014492,6
MGYG000000035,Gut,3142,-4.811377,4.642632,4,8.392296,1.7661438,7
MGYG000000036,Gut,1993,-3.0767086,9.56346,4,9.503294,-3.2695732,6
MGYG000000037,Gut,2216,-2.0344644,14.321757,3,10.183429,4.073107,-1
MGYG000000038,Gut,2883,-6.584361,4.758136,4,8.044025,1.5994544,7
MGYG000000039,Gut,2471,-2.076197,3.4174073,4,12.5083685,-4.467648,6
MGYG000000040,Gut,2146,-3.8509245,8.898793,4,11.167991,0.80969906,7
MGYG000000041,Gut,3255,-5.621418,4.5815554,4,8.185811,3.3961725,7
MGYG000000042,Gut,2826,1.1571351,8.804265,6,-9.6987295,8.929741,3
MGYG000000043,Gut,3336,0.900592,8.662443,6,-9.7443285,9.02033,3
MGYG000000044,Gut,3320,1.4259858,7.943376,6,-10.332189,9.168487,3
MGYG000000045,Gut,2566,-1.0776752,14.586219,3,15.945099,6.845757,5
MGYG000000046,Gut,2226,0.022244338,7.2179623,4,2.274388,1.6771874,4
MGYG000000047,Gut,3093,-0.9029991,17.24794,2,10.139053,4.0784583,-1
MGYG000000048,Gut,2098,-0.9479984,17.447649,2,10.184682,4.073528,-1
MGYG000000049,Gut,3108,-0.88183063,17.273685,2,10.31434,3.926842,-1
MGYG000000050,Gut,3424,-5.721171,4.346051,4,8.442304,1.8454598,7
MGYG000000051,Gut,3187,-4.3251357,4.631554,4,8.343723,1.877063,7
MGYG000000052,Gut,3201,-5.224502,4.621809,4,7.8032417,2.0168433,7
MGYG000000053,Gut,1668,4.964993,6.509672,5,-6.624714,13.144717,3
