Genome_ID,Microbiome,Gene_count,DNA_UMAP_1,DNA_UMAP_2,DNA_cluster,Functional_UMAP_1,Functional_UMAP_2,Functional_cluster
MGYG000000001,Gut,2984,-4.7703,12.260363,2,10.383301,-3.0986407,8
MGYG000000002,Gut,3746,-5.277201,1.5917023,5,9.34865,-5.822135,7
MGYG000000003,Gut,2512,4.048839,3.2116072,4,1.3825052,13.130052,3
MGYG000000004,Gut,3478,-1.9072539,3.0390177,5,5.2150564,-4.022453,8
MGYG000000005,Gut,3541,-4.7047944,12.136329,2,10.352515,-3.097228,8
MGYG000000006,Gut,2525,-0.64077467,12.338862,3,11.011655,5.707425,4
MGYG000000007,Gut,1816,1.0347539,10.127669,3,13.776555,5.413143,4
MGYG000000008,Gut,1738,1.0102239,10.175786,3,13.805271,5.432834,4
MGYG000000009,Gut,2011,0.7347271,10.71315,3,13.610016,5.234735,4
MGYG000000010,Gut,2661,-0.64431435,12.340998,3,11.01971,5.717492,4
MGYG000000011,Gut,2647,-0.63611174,12.333407,3,11.036306,5.7121387,4
MGYG000000012,Gut,3831,-2.4652917,4.04963,5,10.270097,5.8449407,4
MGYG000000013,Gut,4653,1.9518014,4.765625,4,-3.0622458,15.668621,2
MGYG000000014,Gut,3951,-4.6425905,12.099449,2,10.527887,-3.3345132,8
MGYG000000015,Gut,4415,2.4632454,-6.124599,-1,-10.976051,11.417392,6
MGYG000000016,Gut,2300,-5.0605445,2.311749,5,5.9801855,-3.2681117,8
MGYG000000017,Gut,1780,13.389048,3.0057206,0,11.035702,14.454189,1
MGYG000000018,Gut,2673,-4.3074164,7.5132313,5,11.615079,-5.8039775,7
MGYG000000019,Gut,4440,2.5117776,-6.1562057,-1,-10.957884,11.410599,6
MGYG000000020,Gut,1877,1.1972932,9.725001,3,13.534547,5.1330833,4
MGYG000000021,Gut,1795,1.2108554,9.72544,3,13.636285,5.264917,4
MGYG000000022,Gut,2720,-1.1080793,1.134071,5,5.4946065,-5.2117896,8
MGYG000000023,Gut,1908,0.8763778,11.353787,3,13.454613,4.05864,4
MGYG000000024,Gut,3321,-4.7189703,12.252542,2,10.3525,-3.1074896,8
MGYG000000025,Gut,2574,-0.6309816,12.318147,3,11.037509,5.712797,4
MGYG000000026,Gut,2332,-1.5376033,11.396821,3,16.259636,1.9383365,4
MGYG000000027,Gut,2051,4.280744,4.9217277,4,-6.3562284,-1.4885194,5
MGYG000000028,Gut,2254,-6.199359,2.1484873,5,9.91199,-6.313832,7
MGYG000000029,Gut,3380,1.9740363,4.8335295,4,-2.9188728,15.815885,2
MGYG000000030,Gut,2508,-4.18277,7.8533955,5,11.53391,-5.611856,7
MGYG000000031,Gut,3199,-5.536953,1.5159291,5,9.483895,-5.872432,7
MGYG000000032,Gut,5853,-3.7728662,1.8753175,5,8.624772,-5.55453,7
MGYG000000033,Gut,2424,-3.127962,6.8442984,5,1.4229107,-5.3647103,8
MGYG000000034,Gut,2443,-2.7818987,2.5464802,5,2.6565764,-4.8048778,8
MGYG000000035,Gut,3142,-4.3164535,1.843949,5,9.349738,-6.062943,7
MGYG000000036,Gut,1993,-3.4489944,7.337184,5,1.6827203,-4.7295356,8
MGYG000000037,Gut,2216,-0.6550719,12.085941,3,10.556449,-3.261423,8
MGYG000000038,Gut,2883,-6.0331464,1.9716831,5,9.432694,-6.353118,7
MGYG000000039,Gut,2471,-1.3321239,1.2905164,5,5.4981165,-5.2203803,8
MGYG000000040,Gut,2146,-4.084309,6.472948,5,7.5785403,-3.2452927,8
MGYG000000041,Gut,3255,-5.065051,1.7957349,5,10.943928,-5.2091856,7
MGYG000000042,Gut,2826,1.9365281,4.651174,4,-2.4711282,16.254553,2
MGYG000000043,Gut,3336,2.1841686,4.460211,4,-2.5315897,16.160606,2
MGYG000000044,Gut,3320,1.5563757,5.0383186,4,-3.1834226,16.199305,2
MGYG000000045,Gut,2566,-1.773098,12.132748,3,16.345589,1.8552383,4
MGYG000000046,Gut,2226,1.2562792,3.7663357,4,-6.449169,-1.5847138,5
MGYG000000047,Gut,3093,-4.8351827,12.100235,2,10.53265,-3.2356932,8
MGYG000000048,Gut,2098,-4.880185,12.182927,2,10.540607,-3.2416313,8
MGYG000000049,Gut,3108,-4.794068,12.282228,2,10.451709,-3.1633337,8
MGYG000000050,Gut,3424,-5.1808367,1.5829419,5,9.409081,-5.9010935,7
MGYG000000051,Gut,3187,-3.804451,1.8701069,5,9.484329,-5.9863186,7
MGYG000000052,Gut,3201,-4.6798553,1.7687109,5,9.859034,-6.33026,7
MGYG000000053,Gut,1668,6.3643665,3.0509884,1,1.216294,13.395798,3
MGYG000000054,Gut,4112,2.0826,4.8029284,4,-3.0497391,15.670164,2
MGYG000000055,Gut,2417,4.0333505,5.620784,4,-0.94724125,14.418748,3
MGYG000000056,Gut,2518,4.0288677,5.7511034,4,-1.0023283,14.394245,3
MGYG000000057,Gut,3544,2.428139,4.6878557,4,-2.7926738,15.952551,2
MGYG000000058,Gut,2972,-4.606982,1.523688,5,9.502723,-6.2646937,7
MGYG000000059,Gut,2583,-2.2159986,0.25569183,5,5.3656282,-3.4789345,8
MGYG000000060,Gut,2905,-4.211846,7.7564206,5,11.603548,-5.350858,7
MGYG000000061,Gut,1767,13.4081135,3.109295,0,11.567166,14.418074,1
MGYG000000062,Gut,2678,-3.7621825,12.468808,2,10.365827,-3.0994287,8
MGYG000000063,Gut,3713,-4.0087433,2.0686584,5,7.8408937,-3.6551678,8
MGYG000000064,Gut,2893,-4.9206014,12.187028,2,10.552394,-3.2766116,8
MGYG000000065,Gut,2720,-6.1560082,2.080396,5,9.870811,-6.370293,7
MGYG000000066,Gut,4824,-3.673062,1.888026,5,8.718798,-5.8558807,7
MGYG000000067,Gut,3282,-5.044844,1.7708474,5,9.378768,-6.317226,7
MGYG000000068,Gut,2741,-1.6114942,2.8319633,5,5.5558467,-3.6925778,8
MGYG000000069,Gut,2550,-2.7479181,1.9900931,5,2.5917315,-4.828001,8
MGYG000000070,Gut,3556,-2.163512,0.29484257,5,5.4052696,-3.5771372,8
MGYG000000071,Gut,3344,-2.1475985,0.29810995,5,5.3675613,-3.5812402,8
MGYG000000072,Gut,2306,-3.4643333,7.3517175,5,0.8693797,-4.7505865,8
MGYG000000073,Gut,2253,-1.9317014,1.9350771,5,3.0203574,-4.8962135,8
MGYG000000074,Gut,2467,4.061322,3.2387996,4,1.3203081,13.205229,3
MGYG000000075,Gut,2869,-4.8287916,12.280463,2,10.361932,-3.0890212,8
MGYG000000076,Gut,3728,-5.959197,1.9516001,5,11.119842,-5.333453,7
MGYG000000077,Gut,2582,-5.7687135,2.1182797,5,9.80205,-6.2501316,7
MGYG000000078,Gut,2608,-4.24696,7.771807,5,11.579177,-5.3576155,7
MGYG000000079,Gut,2657,0.07013022,11.145464,3,10.533194,5.8144503,4
MGYG000000080,Gut,3124,-4.7754135,1.8101962,5,9.794661,-6.3419824,7
MGYG000000081,Gut,2162,6.3333473,1.5257491,1,-5.815541,3.0493433,5
MGYG000000082,Gut,3133,1.7182906,9.800972,3,-9.454335,10.008438,6
MGYG000000083,Gut,5358,-0.093307085,11.253689,3,10.209425,5.8247585,4
MGYG000000084,Gut,2445,-1.2215265,1.6239821,5,5.202488,-5.02776,8
MGYG000000085,Gut,1704,13.816962,3.204507,0,10.915429,15.080195,1
MGYG000000086,Gut,2995,-2.255009,0.26672047,5,5.3749847,-3.5256064,8
MGYG000000087,Gut,3010,-3.7850063,1.623671,5,9.01866,-4.9304953,7
MGYG000000088,Gut,1892,1.0842031,10.659724,3,13.496813,4.1445246,4
MGYG000000089,Gut,2518,-3.7979095,7.0602674,5,0.74276143,-4.8254704,8
MGYG000000090,Gut,2938,-2.0939631,0.33961877,5,5.390009,-3.565558,8
MGYG000000091,Gut,5932,5.759336,2.1028917,1,-9.589364,10.233986,6
MGYG000000092,Gut,3191,-4.4524646,2.5814283,5,9.465267,-5.8458543,7
MGYG000000093,Gut,5633,2.7258766,-6.0131006,-1,-11.130526,11.314417,6
MGYG000000094,Gut,1833,13.364962,3.0116608,0,11.506258,14.1452875,1
MGYG000000095,Gut,4603,-3.7976801,1.8227476,5,8.718408,-5.841391,7
MGYG000000096,Gut,2182,1.1857023,9.889421,3,13.55046,5.1639147,4
MGYG000000097,Gut,1741,0.6928839,10.770378,3,13.650215,5.225283,4
MGYG000000098,Gut,3748,1.9377815,4.8718643,4,-3.0062966,15.719697,2
MGYG000000099,Gut,3565,-2.2126918,0.20872411,5,5.3485603,-3.5309746,8
MGYG000000100,Gut,2373,-0.46929643,11.630343,3,-6.310876,-1.4822073,5
MGYG000000101,Gut,2197,6.733399,2.1683776,1,-5.8987355,3.0045621,5
MGYG000000102,Gut,3422,-4.7036324,12.159075,2,10.379134,-3.1159148,8
MGYG000000103,Gut,3362,-3.5174334,1.7911505,5,7.8651834,-3.7226107,8
MGYG000000104,Gut,3185,-4.981838,12.184129,2,10.556058,-3.2801805,8
MGYG000000105,Gut,3132,2.1600215,4.954,4,-2.6875343,16.021103,2
MGYG000000106,Gut,2906,0.3395094,11.11191,3,12.867619,5.216862,4
MGYG000000107,Gut,5273,2.741531,-6.0114427,-1,-11.122987,11.314105,6
MGYG000000108,Gut,4302,2.528848,-5.5010953,-1,-11.071813,11.616919,6
MGYG000000109,Gut,1847,0.9166461,11.343099,3,13.409576,4.02264,4
MGYG000000110,Gut,4262,2.5701182,-5.622536,-1,-11.007096,11.523387,6
MGYG000000111,Gut,2119,6.6182346,2.0356963,1,-6.0997844,2.8957183,5
MGYG000000112,Gut,2514,6.725902,2.1827173,1,-6.1642447,2.8379562,5
MGYG000000113,Gut,1881,1.197153,10.865398,3,13.503444,4.1076427,4
MGYG000000114,Gut,1822,0.9069416,11.361795,3,13.4275255,4.0445333,4
MGYG000000115,Gut,3135,-4.6043534,11.841257,2,10.453554,-3.1849084,8
MGYG000000116,Gut,2858,0.08704999,11.003186,3,10.488649,5.8247986,4
MGYG000000117,Gut,2620,1.6586598,5.167162,4,-1.2767777,14.901923,3
MGYG000000118,Gut,2696,-3.7787995,1.7963297,5,9.353883,-6.073539,7
MGYG000000119,Gut,3181,-5.221571,1.4877833,5,9.464915,-5.9311495,7
MGYG000000120,Gut,1913,-3.7821906,10.618818,2,8.517736,-2.2708194,8
MGYG000000121,Gut,3735,-2.8926427,2.194247,5,8.79916,-5.895144,7
MGYG000000122,Gut,2334,-0.66373116,12.32318,3,11.056502,5.708695,4
MGYG000000123,Gut,4939,-4.2988405,1.5603355,5,8.736314,-5.847179,7
MGYG000000124,Gut,4654,2.511804,-5.5141025,-1,-11.138928,11.637144,6
MGYG000000125,Gut,3004,-4.124488,11.402883,2,10.403961,-3.122619,8
MGYG000000126,Gut,3729,-2.9945467,2.244765,5,7.8202777,-3.6268992,8
MGYG000000127,Gut,5327,-3.3279095,2.1563783,5,8.683266,-5.8066425,7
MGYG000000128,Gut,2293,3.9953303,3.235591,4,1.335224,13.204281,3
MGYG000000129,Gut,2333,-2.7306948,2.060017,5,2.2954834,-4.7648125,8
MGYG000000130,Gut,1720,0.7336634,6.350492,4,8.524909,-2.2885568,8
MGYG000000131,Gut,2977,-1.9378021,2.7447898,5,5.179552,-4.0087852,8
